10,153.1174164,90.30329895,30.68708992,32.12706757,2.563700199,2.203871012,1.358141065,2.49464488
20,150.9098053,88.72854614,30.85040283,31.33087349,2.903837204,2.16748333,1.395976901,2.591130495
30,141.3074493,80.9677124,30.13460732,30.20513344,4.165959835,2.177876711,5.502168179,2.704352856
40,132.6470947,75.26308441,27.90186501,29.48216057,5.768161774,3.563816786,3.395887852,2.521156073
50,122.7407532,67.27803802,27.23241806,28.23031807,5.770588875,5.023652554,4.903512001,2.893561363
60,99.89549255,48.91472626,26.26542091,24.71534348,4.286971569,4.206869125,3.547765255,2.461915255
70,76.47388458,34.77957535,23.27181053,18.42249489,5.85696888,2.384487867,5.099240303,2.527564764
80,70.39060974,32.22531891,20.44944954,17.7158432,5.196520805,5.322107792,4.749401093,2.540458441
90,64.41503906,29.47026825,17.83273506,17.11204338,5.049398899,2.721044302,4.13476181,2.496193171
100,59.86587524,27.31984329,16.40423203,16.14179993,4.384829998,5.584036827,4.986129761,2.562926054
110,55.83295822,25.34747505,15.37613869,15.10934544,5.267965317,4.43253994,4.58262682,2.468267918
120,50.36053848,22.22730446,14.34145737,13.7917757,4.243965626,4.053506851,4.009842873,2.462963581
130,45.21566391,19.52944565,13.16600037,12.5202179,4.853972435,5.431378365,5.383832932,2.422384024
140,37.22533417,16.31199837,11.12319756,9.790133476,4.606579781,3.216863394,3.318564892,2.449535131
150,29.753479,9.517965317,12.44123459,7.794278145,1.134145737,7.421689034,3.942883968,2.574562073
160,29.43520927,13.35769844,10.64084721,5.436664581,5.154187202,6.15583992,2.340877295,2.566088676
170,18.36326408,6.976779461,6.362039089,5.024446011,1.40775609,3.392018318,3.724898577,2.436161041
180,14.62660503,6.464938641,4.695735931,3.465928793,1.355638027,2.384166718,1.378076792,2.463193655
190,12.15950203,6.284892559,3.10690403,2.767705441,1.897169709,1.936294317,1.994708776,2.424258947
200,10.99366951,6.113905907,2.254950523,2.624812126,1.520757318,1.886317968,2.821434498,2.423698425
210,10.20289326,5.932260513,1.927792549,2.342841148,1.795604944,1.903311968,1.768412828,2.428721905
220,9.67076683,5.76288271,1.755008459,2.152876854,1.654053211,2.031003714,2.058058262,2.424107313
230,9.25502491,5.627048016,1.61171627,2.016259909,1.567687035,2.041719437,2.191165924,2.43163538
240,8.88141346,5.490093231,1.501953602,1.889367938,1.575954676,1.887445569,2.065259695,2.434895754
250,8.553917885,5.355340481,1.419740677,1.778837204,1.622913837,1.881046534,1.978533983,2.405905247
260,8.248833656,5.220452309,1.349694848,1.678685546,1.631537914,1.792206526,1.9162817,2.433706522
270,7.967661858,5.083373547,1.296054125,1.588233948,1.598576069,1.666481376,1.84817791,2.536397934
280,7.983654022,4.989151478,1.451782107,1.542720556,1.387660265,1.342601776,1.484186649,2.430216789
290,7.42983532,4.809434414,1.19214201,1.428258896,1.557752371,1.598299026,1.778665423,2.481099606
300,7.219317913,4.678594589,1.175200343,1.365522742,1.698187828,2.09527564,1.986027956,2.442349434
310,6.923950672,4.531900883,1.098300695,1.293748021,1.544364214,1.669587374,1.72548604,2.453708887
320,7.077035904,4.478275299,1.303402781,1.295357943,1.277076721,1.323887587,1.305960536,2.529967308
330,6.728194714,4.376935005,1.114291787,1.236967444,1.881183386,2.151578426,2.09921217,2.448179245
340,6.527057171,4.26602459,1.070576668,1.190455914,1.197395921,1.208012938,1.270428181,2.383346319
350,6.112688065,4.033032894,0.972451508,1.107203364,1.760516167,1.930530548,1.884614706,2.453346252
360,6.53710556,4.209004879,1.136092305,1.192008257,2.17795825,2.637281656,2.398862839,2.390299797
370,6.056799889,3.936130762,1.02680254,1.093866706,1.106700778,1.120115161,1.153611064,2.45810771
380,5.651507378,3.721991062,0.912951231,1.016565681,1.811445475,2.030329227,1.928302884,2.465414286
390,5.776857853,3.768913746,0.964989424,1.042954564,1.991899729,2.271185875,2.125780344,2.406728983
400,5.472080708,3.60334754,0.882440865,0.986293137,1.801981688,1.993778467,1.944993377,2.414683819
410,5.498465538,3.595394373,0.919231355,0.983839393,1.051543832,1.085419178,1.095852494,2.411998034
420,5.094791889,3.361636639,0.822915316,0.910239756,1.843783736,1.963612795,1.856251001,2.543423891
430,5.215568542,3.419044256,0.859618843,0.936904907,1.991318107,2.15588212,2.057087898,2.457844496
440,5.014028549,3.284122944,0.830200016,0.89970535,1.020081043,1.076140523,1.067714691,2.475221395
450,4.750504017,3.117000341,0.780506551,0.852996826,1.049120903,1.102989197,1.096080422,2.421836138
460,4.514081001,2.977124691,0.728299379,0.808657229,1.643024921,1.734402418,1.671996355,2.490233898
470,5.463894367,3.575227261,0.915432155,0.973234534,0.906719923,1.10836494,0.992375195,2.544144392
480,5.085485935,3.282363176,0.894453406,0.908669889,2.121289968,2.307498932,2.129707575,2.419219971
490,4.331573963,2.821292639,0.725179136,0.785102546,1.079090953,1.022195458,1.010510564,2.457367659
500,4.302093506,2.843323231,0.694780946,0.76398921,1.859719515,1.897620916,1.857766151,2.466043711
510,4.157611847,2.743056059,0.673026323,0.741529346,1.018428922,1.121874094,1.053930402,2.443762064
520,3.837301016,2.528548717,0.622312963,0.686439335,1.199818015,1.266969919,1.28737855,2.392076731
530,4.786909103,3.157573223,0.784858823,0.844477057,0.87966013,1.009309173,0.916792512,2.430332422
540,3.749508858,2.501704216,0.592105508,0.655698955,0.981295109,1.263480902,1.162446022,2.45502758
550,4.472410202,2.850528479,0.813994229,0.807887018,2.139629602,2.37650156,2.193641186,2.472847223
560,3.593643904,2.359023571,0.590610385,0.644010007,1.094751716,1.046870708,1.014855623,2.49387908
570,3.620283604,2.424784184,0.563183367,0.632316232,0.839571953,1.087928891,0.965478897,2.604088545
580,3.491051674,2.259286404,0.60407728,0.627688169,1.631014824,1.862138867,1.724531651,2.56020546
590,3.630572081,2.365446091,0.602386951,0.662739277,1.775563717,1.847073197,1.886407614,2.479948997
600,3.296567917,2.108658075,0.58488965,0.60302037,1.067029953,0.935136914,0.892999589,2.436660767
610,3.728935242,2.192607641,0.867531359,0.668796182,1.479771614,1.383823037,0.84209919,2.472934484
620,3.939266443,2.455706358,0.801206231,0.682353795,1.684669256,2.239115238,1.806243181,2.557416916
630,3.386312723,2.251965523,0.544358194,0.589988887,1.893415213,1.524374008,1.754514575,2.442622662
640,2.991121292,2.003527403,0.481468767,0.506125212,1.585600615,1.089892149,1.21713233,2.440427303
650,2.917480469,1.89046824,0.515256941,0.511754811,1.03760767,0.96503967,0.974884748,2.659610748
660,2.754324675,1.84355998,0.436816007,0.473948658,1.421303511,1.32346034,1.200438619,2.488929749
670,5.249899387,3.646811962,0.737956464,0.865131438,2.973634243,2.451795816,2.604481936,2.430337667
680,2.858629942,1.880036235,0.500094473,0.478499323,1.256183267,0.805680513,0.795332134,2.416721344
690,2.607254267,1.67352736,0.462778479,0.470948279,1.000591278,1.460710406,1.403335571,2.570795774
700,2.961140633,2.117516756,0.399232417,0.444391578,0.7792629,1.121967077,1.00696218,2.555567741
710,2.683756113,1.630930662,0.554139256,0.498686492,1.45626843,2.067434788,1.788613558,2.438841105
720,2.539280176,1.729171395,0.386807978,0.423300683,0.699337721,0.938480258,0.891742051,2.464311838
730,3.282212019,2.094249725,0.601078391,0.586884499,0.933897436,1.120082378,0.980090976,2.471862316
740,3.004072189,2.135415792,0.407640696,0.461015344,1.816170454,1.44632864,1.518691063,2.53335619
750,3.091914892,1.869054317,0.577936769,0.64492327,0.694567025,1.178816915,1.194081903,2.399556637
760,2.666695118,1.944971204,0.334113628,0.387610227,1.960781336,1.138919353,1.401377916,2.472175121
770,2.271224976,1.577600241,0.326475143,0.367149472,1.599056959,1.127000928,1.35123086,2.481436491
780,2.054259062,1.300201058,0.362039149,0.392018765,1.184842944,1.504678965,1.539288998,2.453801394
790,3.607699633,1.480443358,1.150208592,0.97704792,1.146924376,3.329192638,2.935270071,2.422437668
800,4.002142429,2.717473984,0.702672243,0.581995964,1.892930269,1.601420403,1.245521426,2.416145086
810,1.982663512,1.271703243,0.375835627,0.335124552,1.084912181,1.116364002,1.095110178,2.555932283
820,1.924304605,1.277361751,0.324922889,0.322019845,1.285158992,0.95899111,1.176950812,2.416427374
830,1.772129774,1.172039747,0.290869564,0.309220493,0.913872242,0.900966406,0.937255502,2.411362171
840,1.720592856,1.15582335,0.268310219,0.296458989,0.783276021,0.984865606,0.874579787,2.506476402
850,1.639797807,1.097058415,0.259839743,0.282899678,1.117908001,1.115959167,1.158961177,2.409628868
860,3.672285795,2.592321396,0.500932634,0.579031408,2.607477665,2.077938318,2.210034847,2.428172588
870,2.234047651,1.53870368,0.339706898,0.355636746,0.761694908,0.877881289,0.815203011,2.67932415
880,1.696234822,1.164577842,0.265363753,0.266293019,0.536255181,0.96819371,0.921887934,2.451198339
890,1.950959802,1.372308373,0.269122183,0.309529305,0.777814746,0.694371223,0.744959831,2.488283634
900,1.728608489,1.094352007,0.34008044,0.294176131,1.348865867,1.655383587,1.424469113,2.407333136
910,1.469561577,1.028474927,0.211273819,0.229812756,0.586844921,0.91876632,0.818750739,2.707786083
920,5.687420845,4.110071659,0.719376028,0.85797292,2.51782155,1.842039824,2.003005981,2.458239317
930,1.923505664,1.381426454,0.268312424,0.273766935,0.988984823,0.690069795,0.636794925,2.396366358
940,1.492150664,1.002556443,0.246349528,0.243244573,1.17359972,0.698301852,0.657515585,2.42737937
950,1.362432122,0.952752888,0.19294858,0.21673058,1.221131802,0.751920998,0.78349787,2.425305605
960,1.357131124,0.975804031,0.179733112,0.201593921,1.247020006,0.911315441,0.939892769,2.597139597
970,1.212033272,0.840010285,0.180068448,0.191954717,1.026381254,0.995187283,0.968279123,2.636606216
980,6.823118687,2.991635323,2.038220167,1.793262601,2.972664833,4.628869534,4.257102966,2.420235395
990,3.330653667,1.793836951,0.772622645,0.764193952,1.750622749,2.201163054,2.046371937,2.645058155
1000,1.414105296,0.97302562,0.197017744,0.244061977,0.489744544,0.669666111,0.76637578,2.527290821
1010,1.196869493,0.791738153,0.205492184,0.199639127,0.989238143,0.944297433,1.106040001,2.410663605
1020,1.099144101,0.734924734,0.189843118,0.174376264,0.74013114,1.058174014,0.749458909,2.44463253
1030,1.032141447,0.705226362,0.158735469,0.168179482,0.747841835,0.594735265,0.783395052,2.511036396
1040,0.990272343,0.681239367,0.152101845,0.156931192,0.643117666,0.753709197,0.735682428,2.766410828
1050,0.921412706,0.644019723,0.132771149,0.144621849,0.6373806,0.690403938,0.768171549,2.505624294
1060,1.403744102,1.040061951,0.182653993,0.181028187,0.906083405,0.658020437,0.645176768,2.433761835
1070,4.159658909,1.803553462,1.291768909,1.064336538,1.243911862,3.192784309,2.736737251,2.607430696
1080,1.954660654,1.447780728,0.307714731,0.199165121,0.940193534,1.034350634,0.517685056,2.554937124
